Time,Data
23:17:00.115106,100
23:17:00.680582,100
23:17:00.952138,100
23:17:01.246663,100
23:17:01.496650,100
23:17:01.672620,100
23:17:01.803259,100
23:17:02.049451,100
23:17:02.225846,100
23:17:02.329663,100
23:17:02.606489,100
23:17:02.775161,100
23:17:02.885513,100
23:17:03.163164,100
23:17:03.327189,100
23:17:03.444250,100
23:17:03.715768,100
23:17:03.880617,100
23:17:03.970711,100
23:17:04.245371,100
23:17:04.431852,100
23:17:04.497488,100
23:17:04.810563,100
23:17:04.962384,100
23:17:05.025677,100
23:17:05.393064,100
23:17:05.500807,100
23:17:05.553986,100
23:17:05.919739,100
23:17:06.053562,100
23:17:06.094637,100
23:17:06.489165,100
23:17:06.594696,100
23:17:06.627745,100
23:17:07.059185,100
23:17:07.136446,100
23:17:07.164520,100
23:17:07.617109,100
23:17:07.677123,100
23:17:07.707176,100
23:17:08.213985,100
23:17:08.256098,100
23:17:08.280242,100
23:17:08.828215,100
23:17:08.852243,100
23:17:08.868286,100
23:17:09.408359,100
23:17:09.437436,100
23:17:09.468557,100
23:17:09.987129,100
23:17:10.018247,100
23:17:10.053306,100
23:17:10.586443,100
23:17:10.628555,100
23:17:10.655631,100
23:18:39.766958,100
23:18:40.333112,100
23:18:40.871881,100
23:18:41.427855,100
23:18:41.967047,100
23:18:42.537490,100
23:18:43.128375,100
23:18:43.681761,100
23:18:44.241989,100
23:18:44.839956,100
23:18:45.391854,100
23:18:45.944950,100
23:18:46.516868,100
23:18:47.063979,100
23:18:47.641593,100
23:18:48.231507,100
23:18:48.764535,100
23:18:49.326114,100
23:18:49.916439,100
23:18:50.452779,100
23:18:51.008051,100
23:18:51.571392,100
23:18:52.133756,100
23:18:52.660919,100
23:18:53.218724,100
23:18:53.774490,100
23:18:54.301688,100
23:18:54.855864,100
23:18:55.414573,100
23:18:55.960099,100
23:18:56.503815,100
23:18:57.055986,100
23:18:57.590135,100
23:18:58.146310,100
23:18:58.678053,100
23:18:59.249075,100
23:18:59.797999,100
23:19:00.329604,100
23:19:00.881838,100
23:19:01.457454,100
23:19:02.019077,100
23:19:02.551208,100
23:19:03.087215,100
23:19:59.545556,100
23:20:00.112027,100
23:20:00.667987,100
23:20:01.237001,100
23:20:01.778116,100
23:20:02.336168,100
23:20:02.898759,100
23:20:03.463166,100
23:20:04.023181,100
23:20:30.685876,100
23:20:30.714956,100
23:20:31.299346,100
23:20:31.328460,100
23:20:31.872793,100
23:20:31.897862,100
23:20:32.478276,100
23:20:32.506320,100
23:20:33.046415,100
23:20:33.078499,100
23:20:33.594602,100
23:20:33.622678,100
23:20:34.177526,100
23:20:34.212619,100
23:20:34.778409,100
23:20:34.795452,100
23:20:35.339393,100
23:20:35.355396,100
23:20:35.921851,100
23:20:35.939902,100
23:20:36.513190,100
23:20:36.544285,100
23:20:37.102829,100
23:20:37.125927,100
23:20:37.707060,100
23:20:37.742152,100
23:20:38.293498,100
23:20:38.322575,100
23:20:38.881542,100
23:20:38.931048,100
23:20:39.463824,100
23:20:39.492892,100
23:20:40.087222,100
23:20:40.118307,100
23:20:40.701324,100
23:20:40.731427,100
23:20:41.285510,100
23:20:41.316592,100
23:20:41.830393,100
23:20:41.867495,100
23:20:42.367275,100
23:20:42.408322,100
23:20:42.954913,100
23:20:42.980008,100
23:20:43.521217,100
23:20:43.545282,100
23:20:44.163067,100
23:20:44.196161,100
23:20:44.727895,100
23:20:44.766997,100
23:20:45.346283,100
23:20:45.426305,100
23:20:45.953040,100
23:20:46.047665,100
23:20:46.599642,100
23:20:46.690884,100
23:20:47.213274,100
23:20:47.331588,100
23:20:47.825930,100
23:20:47.971291,100
23:20:48.412960,100
23:20:48.563387,100
23:20:48.951572,100
23:20:49.154464,100
23:20:49.485025,100
23:20:49.705763,100
23:20:50.089930,100
23:20:50.321534,100
23:20:50.683873,100
23:20:50.926963,100
23:20:51.254850,100
23:20:51.535578,100
23:20:51.841375,100
23:20:52.145375,100
23:20:52.437216,100
23:20:52.738016,100
23:20:53.027791,100
23:20:53.379722,100
23:20:53.621387,100
23:20:53.979326,100
23:20:54.206921,100
23:20:54.568886,100
23:20:54.796491,100
23:20:55.145421,100
23:20:55.395082,100
23:20:55.727985,100
23:20:55.974835,100
23:20:56.316959,100
23:20:56.559604,100
23:20:56.912440,100
23:20:57.150074,100
23:20:57.521075,100
23:20:57.724594,100
23:20:58.104615,100
23:20:58.333937,100
23:20:58.681255,100
23:20:58.915423,100
23:20:59.260605,100
23:20:59.501848,100
23:20:59.877848,100
23:21:00.102443,100
23:21:00.472433,100
23:21:00.682988,100
23:21:01.055981,100
23:21:01.300632,100
23:21:01.676644,100
23:21:01.925292,100
23:21:02.278243,100
23:21:02.532909,100
23:21:02.908446,100
23:21:03.123017,100
23:21:03.494004,100
23:21:03.716600,100
23:21:04.083593,100
23:21:04.325219,100
23:21:04.735327,100
23:21:04.934840,100
23:21:05.358968,100
23:21:05.536437,100
23:21:05.977613,100
23:21:06.177973,100
23:21:06.574035,100
23:21:06.781577,100
23:21:07.157581,100
23:21:07.363141,100
23:21:07.824359,100
23:21:08.011851,100
23:21:08.433988,100
23:21:08.642530,100
23:21:09.063648,100
23:21:09.248139,100
23:21:09.807629,100
23:21:09.864781,100
